X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Latitude,Longitude
1050557.36122337,179905.886363973,219,0.155126669675,0.000428176336771,Springfield Gardens South,219,Queens,37.329217,-86.364699
1008618.07092676,260590.401928987,220,0.106015943267,0.000313035744467,Spuyten Duyvil/Kingsbridge,220,Bronx,40.878711,-73.905136
961670.446518479,165251.183526557,221,0.166218220846,0.000890111567051,Stapleton,221,Staten Island,33.181447,-82.438568
1016957.04071381,174971.262603701,222,0.0483893527976,0.000130268343918,Starrett City,222,Brooklyn,33.419068,-86.544426
1010097.75521949,222807.41492939,223,0.166021925275,0.00076436070058,Steinway,223,Queens,40.762574,-73.913447
990391.043674666,205865.65170307,224,0.0440204462769,9.84786989135E-05,Stuy Town/Peter Cooper Village,224,Manhattan,39.820114,-75.117397
1003262.22390789,190226.847964738,225,0.0887992073281,0.000310835395162,Stuyvesant Heights,225,Brooklyn,42.39036,-73.78151
1003837.48199752,207164.423376962,226,0.168957762041,0.00076194414504,Sunnyside,226,Queens,46.373611,-120.01059
982364.350637838,173027.770436553,227,0.0828301570789,0.000268316529534,Sunset Park East,227,Brooklyn,37.703847,-97.279267
981486.230747353,177407.277924464,228,0.177685177706,0.000993414783816,Sunset Park West,228,Brooklyn,35.898547,-88.752568
